Subject,Start Date,End Date,Start Time,End Time,Location,Description
Circus Pikard,09/14/2018,09/14/2018,16:00,18:15,Festwiese Aupark,http://www.klosterneuburg.at/Circus_Pikard_8
"Dauerausstellung ""ES WAR EINMAL ...""",09/14/2018,09/14/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
"Dauerausstellung ""ES WAR EINMAL ...""",09/15/2018,09/15/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
Circus Pikard,09/15/2018,09/15/2018,16:00,18:15,Festwiese Aupark,http://www.klosterneuburg.at/Circus_Pikard_8
type brut,09/15/2018,09/15/2018,10:00,18:00,galerie gugging,http://www.klosterneuburg.at/type_brut_2
"Sonderausstellung ""Aus Großelterns Zeiten""",09/15/2018,09/15/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Sonderausstellung_Aus_Grosselterns_Zeiten_4
"""Natur fix"" - Familienwanderungen",09/15/2018,09/15/2018,14:00,16:30,"Wechselnde Treffpunkte, bitte der HP entnehmen",http://www.klosterneuburg.at/Natur_fix_-_Familienwanderungen_3
LAIENTHEATER WEIDLING: Wiedersehen auf BORA BORA,09/15/2018,09/15/2018,20:00,,Ortszentrum Weidling (WOZ),http://www.klosterneuburg.at/LAIENTHEATER_WEIDLING_Wiedersehen_auf_BORA_BORA_2
Führung durch die Sonderausstellung „Aus Großelterns Zeiten“,09/15/2018,09/15/2018,15:00,16:00,Stadtmuseum Klosterneuburg,http://www.klosterneuburg.at/Fuehrung_durch_die_Sonderausstellung_Aus_Grosselterns_Zeiten_
Kompassrallye,09/15/2018,09/15/2018,10:00,12:00,Naturpark Eichenhain - Stützpunkt,http://www.klosterneuburg.at/Kompassrallye
LAIENTHEATER WEIDLING: Wiedersehen auf BORA BORA,09/16/2018,09/16/2018,20:00,,Ortszentrum Weidling (WOZ),http://www.klosterneuburg.at/LAIENTHEATER_WEIDLING_Wiedersehen_auf_BORA_BORA_2
Circus Pikard,09/16/2018,09/16/2018,16:00,18:15,Festwiese Aupark,http://www.klosterneuburg.at/Circus_Pikard_8
"Dauerausstellung ""ES WAR EINMAL ...""",09/16/2018,09/16/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
type brut,09/16/2018,09/16/2018,10:00,18:00,galerie gugging,http://www.klosterneuburg.at/type_brut_2
"Sonderausstellung ""Aus Großelterns Zeiten""",09/16/2018,09/16/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Sonderausstellung_Aus_Grosselterns_Zeiten_4
KBC-Schlemmer-Turnier,09/17/2018,09/17/2018,19:00,23:00,"Inkustraße 7, Haus 7",http://www.klosterneuburg.at/KBC-Schlemmer-Turnier_2
"Dauerausstellung ""ES WAR EINMAL ...""",09/17/2018,09/17/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
"Sonderausstellung ""Aus Großelterns Zeiten""",09/17/2018,09/17/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Sonderausstellung_Aus_Grosselterns_Zeiten_4
type brut,09/17/2018,09/17/2018,10:00,18:00,galerie gugging,http://www.klosterneuburg.at/type_brut_2
"Sonderausstellung ""Aus Großelterns Zeiten""",09/18/2018,09/18/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Sonderausstellung_Aus_Grosselterns_Zeiten_4
"Dauerausstellung ""ES WAR EINMAL ...""",09/18/2018,09/18/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
"Dauerausstellung ""ES WAR EINMAL ...""",09/19/2018,09/19/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
"Sonderausstellung ""Aus Großelterns Zeiten""",09/19/2018,09/19/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Sonderausstellung_Aus_Grosselterns_Zeiten_4
"Dauerausstellung ""ES WAR EINMAL ...""",09/20/2018,09/20/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
"Sonderausstellung ""Aus Großelterns Zeiten""",09/20/2018,09/20/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Sonderausstellung_Aus_Grosselterns_Zeiten_4
"VHS Vortrag - ""Island""",09/20/2018,09/20/2018,18:30,,Ortszentrum Weidling (WOZ),http://www.klosterneuburg.at/VHS_Vortrag_-_Island_5
"Sonderausstellung ""Aus Großelterns Zeiten""",09/21/2018,09/21/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Sonderausstellung_Aus_Grosselterns_Zeiten_4
"""Waldkosmetik"" selber machen",09/21/2018,09/21/2018,18:30,21:30,Klosterneuburg - Melarium,http://www.klosterneuburg.at/Waldkosmetik_selber_machen_11
"Dauerausstellung ""ES WAR EINMAL ...""",09/21/2018,09/21/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
"""Waldkosmetik"" selber machen",09/22/2018,09/22/2018,13:00,16:00,Klosterneuburg - Melarium,http://www.klosterneuburg.at/Waldkosmetik_selber_machen_10
"Dauerausstellung ""ES WAR EINMAL ...""",09/22/2018,09/22/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
Street Food Festival,09/22/2018,09/22/2018,ä,,Rathausplatz 3400 Klosterneuburg,http://www.klosterneuburg.at/Street_Food_Festival_1
"Sonderausstellung ""Aus Großelterns Zeiten""",09/22/2018,09/22/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Sonderausstellung_Aus_Grosselterns_Zeiten_4
"Grenzwanderung Teil 1 ""Westliche Runde""",09/22/2018,09/22/2018,10:00,14:00,Naturpark Eichenhain - Haupteingang Hagenbachklamm,http://www.klosterneuburg.at/Grenzwanderung_Teil_1_Westliche_Runde_8
"Dauerausstellung ""ES WAR EINMAL ...""",09/23/2018,09/23/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
"Sonderausstellung ""Aus Großelterns Zeiten""",09/23/2018,09/23/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Sonderausstellung_Aus_Grosselterns_Zeiten_4
"""LandArt - KUNST IN DER NATUR""",09/23/2018,09/23/2018,14:00,17:00,Naturpark Eichenhain - Hagenbachklamm,http://www.klosterneuburg.at/LandArt_-_KUNST_IN_DER_NATUR_2
Street Food Festival,09/23/2018,09/23/2018,ä,,Rathausplatz 3400 Klosterneuburg,http://www.klosterneuburg.at/Street_Food_Festival_1
"Dauerausstellung ""ES WAR EINMAL ...""",09/24/2018,09/24/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
"Dauerausstellung ""ES WAR EINMAL ...""",09/25/2018,09/25/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
Ensemble Neue Streicher - Harfe & Orchester,09/26/2018,09/26/2018,19:30,21:30,Stift Klosterneuburg,http://www.klosterneuburg.at/de/Ensemble_Neue_Streicher_-_Harfe_Orchester_4
Herausforderndes Verhalten bei dementen alten Menschen,09/26/2018,09/26/2018,17:00,18:30,Alten- und Pflegeheim der Barmherzigen Brüder,http://www.klosterneuburg.at/Herausforderndes_Verhalten_bei_dementen_alten_Menschen
"Dauerausstellung ""ES WAR EINMAL ...""",09/26/2018,09/26/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
"Dauerausstellung ""ES WAR EINMAL ...""",09/27/2018,09/27/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
Spielenachmittag bei Roten Kreuz Klosterneuburg,09/27/2018,09/27/2018,14:30,17:00,Rotes Kreuz Klosterneuburg,http://www.klosterneuburg.at/Spielenachmittag_bei_Roten_Kreuz_Klosterneuburg_6
"Dauerausstellung ""ES WAR EINMAL ...""",09/28/2018,09/28/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
Marko Simsa – „Kinderlieder Schatzkiste“,09/28/2018,09/28/2018,15:00,16:00,Kellertheater Wilheringerhof,http://www.klosterneuburg.at/de/Marko_Simsa_Kinderlieder_Schatzkiste_2
Marko Simsa – „Kinderlieder Schatzkiste“,09/28/2018,09/28/2018,16:30,17:30,Kellertheater Wilheringerhof,http://www.klosterneuburg.at/de/Marko_Simsa_Kinderlieder_Schatzkiste_3
“living a dream ...”,09/28/2018,09/28/2018,10:00,18:00,galerie gugging,http://www.klosterneuburg.at/living_a_dream_
Single Wandern,09/29/2018,09/29/2018,ä,,Klosterneuburg und Umgebung,http://www.klosterneuburg.at/Single_Wandern_12
"Grenzwanderung Teil 2 ""Östliche Runde""",09/29/2018,09/29/2018,10:00,14:00,Eingang Naturpark Eichenhain-Rotgraben/Weidling,http://www.klosterneuburg.at/Grenzwanderung_Teil_2_Oestliche_Runde_8
Die Natur des Buchbergs erkunden Teil 4,09/29/2018,09/29/2018,14:00,18:00,"Klosterneuburg, genauer Treffpunkt noch unbekannt",http://www.klosterneuburg.at/Die_Natur_des_Buchbergs_erkunden_Teil_4
"Dauerausstellung ""ES WAR EINMAL ...""",09/29/2018,09/29/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
"Dauerausstellung ""ES WAR EINMAL ...""",09/30/2018,09/30/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
Single Wandern,09/30/2018,09/30/2018,ä,,Klosterneuburg und Umgebung,http://www.klosterneuburg.at/Single_Wandern_13
“living a dream ...”,10/01/2018,10/01/2018,10:00,18:00,galerie gugging,http://www.klosterneuburg.at/living_a_dream_
