Subject,Start Date,End Date,Start Time,End Time,Location,Description
“living a dream ...”,10/18/2018,10/18/2018,10:00,18:00,galerie gugging,http://www.klosterneuburg.at/living_a_dream_
“living a dream ...”,10/19/2018,10/19/2018,10:00,18:00,galerie gugging,http://www.klosterneuburg.at/living_a_dream_
"Dauerausstellung ""ES WAR EINMAL ...""",10/19/2018,10/19/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
Bernhard Fibich – „Kuddelmuddel mit Gesprudel “,10/19/2018,10/19/2018,16:30,17:30,Kellertheater Wilheringerhof,http://www.klosterneuburg.at/de/Bernhard_Fibich_Kuddelmuddel_mit_Gesprudel_3
Bernhard Fibich – „Kuddelmuddel mit Gesprudel “,10/19/2018,10/19/2018,15:00,16:00,Kellertheater Wilheringerhof,http://www.klosterneuburg.at/de/Bernhard_Fibich_Kuddelmuddel_mit_Gesprudel_2
Vernissage Edith Mitsch,10/20/2018,10/20/2018,19:00,,Ortszentrum Weidling (WOZ),http://www.klosterneuburg.at/de/Vernissage_Edith_Mitsch_2
"""Natur fix"" - Familienwanderungen",10/20/2018,10/20/2018,14:00,16:30,"Wechselnde Treffpunkte, bitte der HP entnehmen",http://www.klosterneuburg.at/Natur_fix_-_Familienwanderungen_3
"Dauerausstellung ""ES WAR EINMAL ...""",10/20/2018,10/20/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
Wiesenvielfalt am Buchberg entdecken,10/20/2018,10/20/2018,10:00,12:00,Naturpark Eichenhain - Buchberg,http://www.klosterneuburg.at/Wiesenvielfalt_am_Buchberg_entdecken_2
"Dauerausstellung ""ES WAR EINMAL ...""",10/21/2018,10/21/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
"Dauerausstellung ""ES WAR EINMAL ...""",10/22/2018,10/22/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
"VHS Vortrag - ""Australien""",10/22/2018,10/22/2018,18:30,," Großer Sitzungssaal, Rathaus 2.Stock",http://www.klosterneuburg.at/VHS_Vortrag_-_Australien_
“living a dream ...”,10/22/2018,10/22/2018,10:00,18:00,galerie gugging,http://www.klosterneuburg.at/living_a_dream_
“living a dream ...”,10/23/2018,10/23/2018,10:00,18:00,galerie gugging,http://www.klosterneuburg.at/living_a_dream_
"Dauerausstellung ""ES WAR EINMAL ...""",10/23/2018,10/23/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
Festival Klangbrücke – G.B. Pergolesi „Stabat Mater“,10/23/2018,10/23/2018,19:30,21:30,Evangelische Kirche,http://www.klosterneuburg.at/de/Festival_Klangbruecke_G_B_Pergolesi_Stabat_Mater_1
“living a dream ...”,10/24/2018,10/24/2018,10:00,18:00,galerie gugging,http://www.klosterneuburg.at/living_a_dream_
"Dauerausstellung ""ES WAR EINMAL ...""",10/24/2018,10/24/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
Blutspendeaktion,10/25/2018,10/25/2018,13:00,17:30,Rotes Kreuz Klosterneuburg,http://www.klosterneuburg.at/Blutspendeaktion_13
“living a dream ...”,10/25/2018,10/25/2018,10:00,18:00,galerie gugging,http://www.klosterneuburg.at/living_a_dream_
"Dauerausstellung ""ES WAR EINMAL ...""",10/25/2018,10/25/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
Blutspendeaktion,10/26/2018,10/26/2018,09:00,15:30,Rotes Kreuz Klosterneuburg,http://www.klosterneuburg.at/Blutspendeaktion_14
"Dauerausstellung ""ES WAR EINMAL ...""",10/26/2018,10/26/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
"Dauerausstellung ""ES WAR EINMAL ...""",10/27/2018,10/27/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
"Dauerausstellung ""ES WAR EINMAL ...""",10/28/2018,10/28/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
"Dauerausstellung ""ES WAR EINMAL ...""",10/29/2018,10/29/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
“living a dream ...”,10/29/2018,10/29/2018,10:00,18:00,galerie gugging,http://www.klosterneuburg.at/living_a_dream_
"VHS Vortrag - ""Martin Luther - 550 Jahre Reformation""",10/29/2018,10/29/2018,18:30,," Großer Sitzungssaal, Rathaus 2.Stock",http://www.klosterneuburg.at/VHS_Vortrag_-_Martin_Luther_-_550_Jahre_Reformation_3
“living a dream ...”,10/30/2018,10/30/2018,10:00,18:00,galerie gugging,http://www.klosterneuburg.at/living_a_dream_
"Dauerausstellung ""ES WAR EINMAL ...""",10/30/2018,10/30/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
“living a dream ...”,10/31/2018,10/31/2018,10:00,18:00,galerie gugging,http://www.klosterneuburg.at/living_a_dream_
Spielenachmittag bei Roten Kreuz Klosterneuburg,10/31/2018,10/31/2018,14:30,17:00,Rotes Kreuz Klosterneuburg,http://www.klosterneuburg.at/Spielenachmittag_bei_Roten_Kreuz_Klosterneuburg_3
"Dauerausstellung ""ES WAR EINMAL ...""",10/31/2018,10/31/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
"Dauerausstellung ""ES WAR EINMAL ...""",11/01/2018,11/01/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
"Dauerausstellung ""ES WAR EINMAL ...""",11/02/2018,11/02/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
“living a dream ...”,11/02/2018,11/02/2018,10:00,18:00,galerie gugging,http://www.klosterneuburg.at/living_a_dream_
TAG DER OFFENEN TÜR im Stadtmuseum Klosterneuburg,11/03/2018,11/03/2018,14:00,18:00,Stadtmuseum Klosterneuburg,http://www.klosterneuburg.at/TAG_DER_OFFENEN_TUeR_im_Stadtmuseum_Klosterneuburg_3
"Dauerausstellung ""ES WAR EINMAL ...""",11/03/2018,11/03/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
