"id","name","street","city","data","message","created_when","latitude","longitude"
"384","Katharina Rumpeltasche","Hundskehle 2","Klosterneuburg","[""Klumpat""]",,"2016-10-24 10:05:54","48.3072604","16.3243789"
"207","Heuriger Redinger","Agnesstraße 23","Klosterneuburg","[""Gutschein ""]","nachträglich und demütig auf die Dienststelle gebracht ","2016-10-24 10:06:55","48.3012619","16.3271842"
"283","Elektro Göttinger GmbH","Stadtplatz  4","Klosterneuburg","[""2x Dekantierkaraffe""]",,"2016-10-24 14:38:55","48.3087824","16.3224200"
"238","Ubl-Doschek Heuriger","Schelhammergasse 64","Kritzendorf","[""6x Wein""]",,"2016-10-24 23:21:54","48.3230207","16.2974792"
"220","Heuriger Gruber","Agnesstraße 43","Klosterneuburg","[""6x Wein und 3x Gutschein""]",,"2016-10-27 23:40:48","48.2999574","16.3281106"
"171","Schuh- und Podologiezentrum Klosterneuburg","Ortnergasse 10","Klosterneuburg","[""""]","ich glaube","2016-10-27 23:47:44","48.3054186","16.3231484"
"3309","Naschkatze","Lienfeldergasse 53","Wien","[""10 Riesenschaumrollen""]",,"2016-10-28 17:39:06","48.2176411","16.3148037"
"396","KOLB Blumen","Weidlinger Str. 18","Klosterneuburg","[""Blumen ""]",,"2016-10-28 17:39:35","48.2964349","16.3323641"
"901","Fleischhauerei Feiler","Weidlingerstr. 6","Klosterneuburg","[""Schinken""]",,"2016-10-28 17:41:09","48.2970004","16.3331225"
"281","TORTENMANUFAKTUR Christoph Hollander","Hauptstraße 11","Weidling","[""2 Torten""]",,"2016-10-28 17:45:47","48.2907880","16.3092310"
"844","Stars Fitness","Inkustraße 1-7","Klosterneuburg","[""Gutschein""]",,"2016-10-28 23:06:38","48.2917974","16.3415320"
"878","Rest Bäckerei","Hauptstraße 91-93","Höflein","[""Riesenstritzel""]",,"2016-10-31 22:30:25","48.3494191","16.2757897"
"2463","Berger Handelsgesellschaft m.b.H.","Stadtplatz 29","Klosterneuburg","[""Schinken""]",,"2016-10-31 22:31:32","48.3092282","16.3240899"
"183","Kranister Cafe Konditorei","Leopoldstraße 4","Klosterneuburg","[""Erdbeertorte""]",,"2016-10-31 23:20:16","48.3045499","16.3252279"
"856","TUI Reisecenter Klosterneuburg","Stadtpl. 37","Klosterneuburg","[""Regenponcho, Nackenrolle, 2*badetasche""]",,"2017-09-29 09:11:29","48.3084936","16.3234317"
"3284","Handy Com","Stadtplatz 37","Klosterneuburg","[""Handyh\u00fcllen""]",,"2017-09-29 09:15:04","48.3084936","16.3234317"
"411","Wertl Goldschmiede","Stadtplatz  40","Klosterneuburg","[""2*30\u20ac""]",,"2017-09-29 09:23:14","48.3083570","16.3224554"
