id	created_when	id	name	id	name	city	street	
4231	2017-09-11 21:12:57	9	Liste 2017	179	Der Waldhof	Klosterneuburg/ Maria Gugging	Hauptstraße 132	
4232	2017-09-11 21:12:57	9	Liste 2017	351	Stiftsvinothek	Klosterneuburg	Rathausplatz 24	
4233	2017-09-11 21:12:57	9	Liste 2017	728	Fahrschule Leo	Klosterneuburg	Stadtpl. 21	
4234	2017-09-11 21:12:57	9	Liste 2017	82	Die Blaue Apotheke	Klosterneuburg/Kierling	Hauptstraße 153	
4235	2017-09-11 21:12:57	9	Liste 2017	325	GUTENTHALER Elektro	Klosterneuburg-Kierling	Hauptstr. 159	
4236	2017-09-11 21:12:57	9	Liste 2017	1581	Glaserei Robert Glaser e.U.	Klosterneuburg	Hauptstraße 143	
4237	2017-09-11 21:12:57	9	Liste 2017	81	Apotheke zur heiligen Agnes	Klosterneuburg	Wiener Straße 104	
4238	2017-09-11 21:12:57	9	Liste 2017	3315	Computershop Hochreiter	Klosterneuburg	Weidlinger Straße 35a	
4239	2017-09-11 21:12:57	9	Liste 2017	323	GALLER Hafner	Klosterneuburg	Wiener Str. 102	
4240	2017-09-11 21:12:57	9	Liste 2017	370	Zoo & Co.	Klosterneuburg	Inkustr. 1-7	

4241	2017-09-11 21:12:57	9	Liste 2017	878	Rest Bäckerei	Höflein	Hauptstraße 91-93	
4242	2017-09-11 21:12:57	9	Liste 2017	2463	Berger Handelsgesellschaft m.b.H.	Klosterneuburg	Stadtplatz 29	
4243	2017-09-11 21:12:57	9	Liste 2017	183	Kranister Cafe Konditorei	Klosterneuburg	Leopoldstraße 4	
4244	2017-09-11 21:12:57	9	Liste 2017	441	Happyland GmbH	Klosterneuburg	In der Au	
4245	2017-09-11 21:12:57	9	Liste 2017	205	Wüde Goaß Restaurant	Klosterneuburg	Strandbadstr. 15	
4246	2017-09-11 21:12:57	9	Liste 2017	334	ÖAMTC	Klosterneuburg	Schüttaustraße 9	
4247	2017-09-11 21:12:57	9	Liste 2017	239	Vitovec - Schelhammerhof	Kritzendorf	Hauptstraße 24	
4248	2017-09-11 21:12:57	9	Liste 2017	224	Katzmayer-Oman Heuriger 	Klosterneuburg	Kard. Piffl-Platz 10	
